Categorie;Inhoud 1;Inhoud 2;Inhoud 3;
Werk en inkomen;Ik heb de stadspas ontvangen en wilde hem gaan gebruiken, maar hij staat op een verkeerde naam, namelijk R.Erisman, mij onbekend;Weet ik niet<br />;graag een pas op mijn eigen naam;
Overig;Op 9 februari heb ik een brief aan de burgemeester gestuurd. Hierop heb ik geen antwoord gekregen. Op 23 maart heb ik hierover gebeld. De woordvoerder van de burgemeester vertelde dat alle post via het secretariaat van de burgemeester verliep. Ik ben toen doorverbonden met het secretariaat<wbr />/Shirley Lam. Zij vertelde dat de brief waarschijnlijk was doorgegeven aan een van de wethouders. Zij zou gaan uitzoeken aan wie en dat schriftelijk aan mij laten weten. Ik heb mijn naam en adres doorgegeven maar wederom niets gehoord. Uiteraard wil ik graag een antwoord op mijn brief.;Shirley Lam;Ik wil graag een antwoord op mijn brief;
Stadsloket;Aanvraag nieuwe paspoort heb ik ingediend op 30 maart 2015 en op 13 april 2015 ging het ophalen bij het stadsdeelkantoor Nieuw West aan de Osdorpplein 100 waar ik de aanvraag heb ingediend. Ze konden mijn paspoort niet vinden. En zou ik gebeld worden zodra het gevonden is. Op donderdag 16 april 2015 heb ik naar nummer 14020 gebeld. En nog steeds is mijn paspoort niet gevonden volgens de mevrouw die ik aan de telefoon had.;;Uitzoeken wat de reden is van niet kunnen vinden van een nieuw aangevraagd paspoort of uberhaupt een nieuw paspoort is aangemaakt. Nummer Gegevens aanvraag: 01-6697-0761 op 30 maart 2015;
Overig;Noorderparkbad:<br />Kleedhokjes met EEN deur, met schoenen in en uit: erg vuil<br />Kledingkastje erg klein en bediening voor brildragers: onleesbaar<br />straal van douche koppen veel te zwak en dus bijna langs de wand<br />banen zwemmen tussen de lijnen veel te krap, passeren erg lastig<br />Gaarne uw aandacht voor deze belangrijke punten voor zwemmers<br />;;Antwoord geven op de geconstateerde 'gebreken';
Werk en inkomen;door de kostendelerswet komt burger in moeilijkheden met 2 inwonende kinderen;;;
Openbare ruimte;In de 1e Anjeliersdwarsstraat ter hoogte van de Westerstraat is er een 'gat' in de weg. Hierdoor heb ik op 3 april jl. een ongeluk gehad met als gevolg letselschade en materieleschade. De daaruit voortvloeiende gevolgen o.a betalen eigen bijdrage zorgverzekering, inkomstenderving, etc. wil ik graag bespreken en vergoedt zien daar ik zzp-er ben en de gevolgen zwaar wegen voor mij.;Nee, niemand van de gemeente aanwezig;Primair: Schade vergoeding.(zie het hierboven vermelde)<br />Secundaire: Gesprek;
Overig;Ik heb het volgende probleem: ik ben nergens indNederland ingeschreven. Ook ben ik in het buitenland nergens ingeschreven. <br />Mijn paspoort is verlopen, en ik wil een nieuwe aanvragen. Dat kan niet omdat ik nergens sta ingeschreven. Nu heb ik een vriendin gevraagd of ik haar adres mag gebruiken als briefadres. Dat mag. Echter, ik kan mij niet laten registreren als briefadreshouder want: ik heb geen geldig legitimatiebewijs om die inschrijving te voltooien.<br />Omdat ik nu geen beschikking heb over een geldig legitimatiebewijs kan ik helemaal niets: geen werk aannemen etc. <br />De gemeente Den Haag zou wel een paspoort kunnen verstrekken in dit soort gevallen maar dan moet ik kunnen bewijzen dat ik al enige tijd in Nederland verbleven heb, dat kan ik niet. Ook aan de balie op Schiphol kan ik geen paspoort aanvragen omdat ik geen (brief)adres heb.<br />Ik ben overal al geweest en overal informatie ingewonnen maar ik wordt overal en nergens heen gestuurd, ben inmiddels een halve dag verder. ;;Graag zo snel mogelijk contact opnemen met meneer, indien mogelijk.;
Overig;van 28-3 tot en met 30-3-2015 zijn wij in Amsterdam geweest waaronder een bezoek aan de Late Rembrandt.<br />Amsterdam is een prettige stad om te verblijven en wij komen daar ook graag en regelmatig.<br />Echter bij aankomst bij het West Cort Art Hotel aan de Spaarnedammerweg 302 hadden wij een onplezierig ervaring. Omdat een taxi net bij het hotel vertrok moesten wij naar de zijkant zodat wij elkaar uitstekend konden passeren. Maar door het uitsteken van een trottoirkolk ruim buiten de trottoirbanden kregen wij een forse scheur in onze rechter voorband.<br />Gezien de situatie en het achterstallig onderhoud steekt de put buiten proportioneel naar voren.<br />Voor de schade stellen wij u dan ook aansprakelijk.<br />Ik vervang de banden vaak per 2 en heb dat in dit geval ook gedaan. Ik verzoek u dan ook om de helft van de rekening in dit geval van 1 band te vergoeden.<br />De foto's en de rekening heb ik bijgevoegd.;Nee;Het achterstallig onderhoud verhelpen door het opnieuw stellen van de trottoirbanden en het vergoeden van de geleden schade van  115,28.<br />Rekeningnr: NL09RABO0316004545;
Werk en inkomen;ik belde het dwi nummer 020-3463636 om te vragen voor een eenmalige byzondere bystand.de mevrouw deed alsof ze niets ervan wist en zy uiteindelyk dat ik er niet voor in aanmerking kwam en ook dat er geen byzondere bystand bestond voor een bril- hetgene waar ik om vroeg-terwyl dat op de website stond aangegeven; alleen de mevrouw die ik aan de telefoon had; dat vmy de aanvraagformulieren voor de eenmalige byzondere bystand voor een bril worden opgestuurt;
Overig;Lichamelijk en Geestenlijke MIShandeling, door de 'organisaties' v<wbr />/d Gemeente Amsterdam, o.a., door de Ombudsman, gemeentelijk, DWI, Discus HVOq. Juridische Zaken, GGD, ect...Zojuist de Burgemeester gemailed, ook geschreven, met ontvangst bevestigingen, v.a. 19 maart 2014, maar hij heeft nooit beantwoord!!! Hij is pesoonlijk SCHULDIG aan mijn ZELFMOORD van A.S. 27ste april(Koningsdag!)2015!!!  Ik spring hier van een meer dan 40 meter hoog gebouw, en spetter als een tomaat kapot tegen de betonnen grond!!! 50.000.- heb ik de Burgemeester geschreven, en dit geld MOET voor 24 april op mijn rekening staan!!!;Burgemeester E. v<wbr />/d Laan.;BETALEN MET SPOED!!! VOOR 24 APRIL, moet ik het hier kunnen pinnen<wbr />/op de rekening staan!!!;
Werk en inkomen;BBZ leining voor levensonderhoud.<br />Ik heb de papieren gegeven en heb een leuke gesprek met de Gemeente ambtenaar. Tijdens dit gesprek is het me beloofd dat ik na vier weken een voorschoot zal krijgen. Na twee weken heb ik gebeld en heb gevraagd of er alle documenten in orde zijn. Het antwoord was positief. Maandag 13 April heb ik weer gebeld en gevraagd of ik de beloofde voorschoot kan krijgen. Het is me gezegd dat ik niet alle papieren heb verstrekken en dat ze mij een brief hebben gestuurd. Deze brief heb ik nooit ontvangen, er zal een nieuwe brief gestuurd worden. Woensdag 15 April heb ik weer gebeld en gevraagd waar blijf de nieuwe brief. Het is me gezegd dat de brief zal worden gestuurd, maar de voorschoot is al geregeld, en ik zal het geld volgende dag krijgen. Wel twee dagen later Vrijdag 17 April heb ik weer niets gekregen. Ik heb meerdere keren aangetoondt dat ik helemaal niets meer te eten heb, dat ik al 3 dagen alleen reis eet. Nu heb ik niets meer te eten.;De heer Van de Velde.<br />Op het eerste gezicht lijkt hij erg vriendelijk en erg begrivol. De waarheid is dat hij ligt, hij belooft dingen die hij nooit na komt. Hij wil niet meedenken en meewerken om de problemen op te lossen. ;Ik wil dat de Gemeente deze FALSE Ambtenaar die beweerd dat hij mensen helpt om hem aan te spreken en zijn daden straffen. Ik heb op zijn word gerekend, ik heb geen geld, en absoluut niets meer te eten. Het is niet normaal wat Van der Velde met mensen in nood doet. Schamte.;
Overig;Bij deze dien ik een klacht in over het onderhoud van de molen de Otter, gelegen aan de Gillis van Ledenbercherstraat. Deze molen, een prachtige molen, en Rijksmonument bovendien, staat al jaren te verrotten, en ik zie met leden ogen aan hoe deze door weer en wind vernietigd wordt. Het is een molen uit de 17e eeuw, de laatste zaagmolen van Amsterdam. Het staat op een prachtige plek, en dagelijks rijden er honderden, zo niet een paar duizend fietsers langs. Het is historie en een genot om naar te kijken. Maar ook pijnlijk, aangezien de molen al jaren bedekt is met oranje zeil - inmiddels aan het rafelen en stukgescheurd (het lijkt me waarschijnlijk dat het hout eronder inmiddels is gaan rotten). Daarnaast staan de bijgebouwen op instorten, en staat er een lelijk hek rondom. Al jaren gebeurt er niks mee, en dat is eeuwig zonde. <br /><br />Ik zou graag willen dat de gemeente actie onderneemt om deze molen van de ondergang te redden, en te herstellen in historische staat.;geen idee.;Een verordening opstellen om dit stuk historisch erfgoed te beschermen <wbr />/ handhaven. Ik wil verder dat de gemeente - indien nodig - geld beschikbaar stelt voor de restauratie.;
Overig;Mevrouw Reverda is al vanaf 10.00 's morgens bezig informatie in te winnen over potentiele sloopplannen van haar eigen koopwoning. Zij is al meerdere malen tevergeefs doorverbonden en doorverwezen naar verschillende afdelingen van de gemeente, die geen antwoord kunnen geven op haar vraag, o.a. Bouw- en Woning Toezicht, Ruimtelijke Ordening, afdeling Vergunnigen Stadsdeel Oost en uiteindelijk mevrouw Karin Graf-Kofte. Zij zou alles uitzoeken en niet vindbaar in onze adres gegevens. Dit wekt natuurlijk veel vragen op en frustratie.;Onbekend. Er zijn wel mensen van het stadsdeel Oost aanwezig.;Graag juiste informatie verschaffen over eventuele sloopplannen en graag de bewoners informeren, m.n. de bezitters van een koopwoning. Simon Stevinstraat 14.;
Onderwijs, jeugd en zorg;De Dienst Wonen, Zorg en Samenleving heeft een mij een PGB gegeven voor woningaanpassing op 26 juni 2014 (even ter illustratie: ik kreeg eerst een Zorg in Natura en een bezoek van de aannemer wat ik weigerde, ik had een PGB aangevraagd). <br />Nadat ik meldde dat de woningaanpassingen opgeleverd zijn ben nu al 5 maanden bezig brieven te versturen en de gemeente reageert al maanden niet meer waardoor ik het reeds uitgegeven bedrag van 3973,63 niet ontvang.<br />; De heer Rutgers van de Dienst WZS, afdeling Uitvoering Woonvoorzieningen. ;Zsm Bouwkundige inspectie van de aanpassingen in mijn woning en als het goedgekeurd wordt 3.973,63 euro naar mijn rekening storten. <br /><br />Ik heb in 2007 een herseninfarct gekregen, daar oa afasie overgehouden waardoor ik niet meer zo goed praat. Ik waardeer het als de volgende correspondentie schriftelijk of per mail gaat: vroomsiemon@gmail.com  <br />;
Overig;Walschip-Melding: Benhmidouch 06 52898847. <br /><br />Melder is dakloos, had wel een bedrijfspand maar dat is nu door de KvK uitgeschreven. Melder weet zich geen raad met situatie.<br />;Walschip-Melding;Graag contact opnemen met melder.;
Overig;Now that the weather is better I decided to some fitness outside in my local neighbourhood near Gein But I discovered that there are not many facilities (or good ones) nearby to have a good workout. Would the council consider investment in this area to support the local community and promote fitness amongst the people?;;I hope they can invest in some new outdoor gym<wbr />/fitness equipment for the local community. By equipment, i mean metal poles like pull up bars, and dips etc...;
Parkeren;Gisteren wilde ik parkeren op de p en r van Arena. Daar aangekomen om 15.00 uur werd mij meegedeeld dat P en R afgesloten was. Ik heb daarom gewoon geparkeerd in de garage. Kosten 9,00 euro en kosten van openbaar vervoer naar centrum. Bij terugkomst in de P en R zag ik diverse mensen wel met een speciale P en R kaart betalen bij de automaat. Zojuist heb ik op de site gezien dat ik tot 16.00 uur wel gebruik had kunnen maken van de P en R Arena. Heb dus tenonrechte extra kosten moeten maken.;;Zou graag het teveel betaalde bedrag terug willen ontvangen. P en R is uitkomst maar niet op deze manier.<br /><br />Met vriendelijke groet,<br /><br />Yvonne Commandeur<br /><br /><br />;
Overig;Hierbij wil ik graag mijn klacht doorgeven, omdat het bijna mijn leven had gekost. <br /><br />Omstreeks 14:30 tussen 15:00 op 3-3 2015 j.l. was ik vlakbij de IJtunnel aan het rijden aan de linker strook. Op een gegeven moment krijg ik een grote stuk steen op mijn linker ruit. In het begin dacht ik dat ik lekke band had. Maar toen begon mijn auto te piepen. Ik zag dat mijn auto hele linker kant weg was. <br /><br />Het was een vracht wagen die bovenkant helemaal open was en niet veilig op de weg. Ik raakte helemaal in paniek anders had ik of kenteken kunnen noteren of een foto kunnen maken. <br /><br />Bovendien heeft dit schade heeft mij wel hoge bedraag gekost. <br /><br />Sinds dien heb ik ontzettend rij angst. Ik wil graag hierover gebeld worden. Zodat zulke mensen niet als monster op de weg kunnen rijden. <br /><br />Ik ben van mening dat u overal camera`s heeft en zeker andere mensen ook hierover geklaagd hebben<br /><br />Vriendelijke groeten<br /><br />H. Bagcik;Niemand is bij betrokken. ;Ik wil graag van de gemeente dat de eigenaar van deze voertuig opspoort en mijn schade laten vergoeden. ;
Overig;Hoogachtend gemeente Amsterdam mijn klacht is dat er een mevrouw(Mvr narcis wiesner)  die een bijstandsuitkering heeft en logeert jaren tijdelijk op adress grote Wittenburgerstraat 226 1018 LJ Amsterdam en ze heeft een woning gekregen van woningnet op adres commelinstraat 63H 1093 TK amsterdam, en ze heeft het laten opknappen en is nu woon baar, waar ze tot nu toe logeert bij een geestelijke gehandicapte man is ze bezig hem  beinvloeden met zwaar negatieve gedrag en dwingt Hem tot  boodschappen te doen en terroriseert hem, inverband met haar woning heeft mensen op adres commelinstraat overlast van vreemde personen die daar in en uit lopen op adres commelinstraat 63H 1093 TK amsterdam de bewoners weten dat er daar op die adres een mevrouw komt te wonen die alcohol problemen heeft, maar die mevrouw is daar nog nooit aanwezig geweest in die woning en bewoners van commelinstraat denken dat die woning onterecht wordt verhuurd (Illegaal zwart)Ik hoop hiermee genoeg te hebben geinformeerd. ;Nee nog niet zover ik het weet ;Ja handhaving inschakelen voor onterechte gedrag en Misbruik maken van uitkering en woningwet. ;
Overig;afwezige gemeenteraad bij jubileumreceptie Dominicuskerk;Nee, dat was juist het probleem.;Ik weet eerlijk gezegd niet hoe je teleurstelling kunt wegnemen. Ik weet wel dat ik het ben. ;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
Openbare ruimte;Bij het knippen van de ligusterhaag rond mijn voortuin kwamen de mensen die dat deden vorig jaar weer mijn voortuin in en vertrapten de planten. Dit terwijl ik in 2013 met het ingenieursbureau van het Stadsdeel Oost (o.m. Martin Mensum en Joop Looijen) de afspraak heb gemaakt dat ze alleen de buitenkant en bovenkant van de haag zouden knippen en dat ik de binnenkant zou doen, zodat zij de tuin niet in hoefden. Het inegnieursbureau zou zorgen dat het in de werktekening<wbr />/-opdracht voor de aannemer kwam te staan.;Binnenkort zal de haag waarschijnlijk weer geknipt worden. Ik wil dat het Stadsdeel zich aan de gemaakte afspraak houdt.;Ja;
Overig;Ik dien een klacht in bij CAWA omdat ik onterecht ben uitgeschreven.<br />Op 3 maart 2015 ontving ik 10 euro inschrijfgeld terug, terwijl ik mijn bank sinds 2013 (toen kreeg ik op 1 maart een herinnering) een jaarlijkse automatische opdracht heb gegeven om jaarlijks 10 euro af te schrijven. Deze heb ik op 31 dec 2014 overgemaakt voor het jaar 2015.<br />;Nee;Per e-mail;
Openbare ruimte;Mensen die in auto's rijden met logo van de gemeente Amsterdam parkeerden deze auto's dusdanig dat vrachtwagens de daar tussen gelegen plek bestemd voor laden en lossen niet konden bereiken. Er was genoeg parkeerplek in de buurt waar de auto's konden staan zonder hinder voor deze laad en los plek. Kenteken: 27-Sp-KZ en 47-RJ-KB. Hebben ruim uur geparkeerd staan. Vrachtwagen heeft half uur moeten wachten tot deze auto's weg waren. Vrachtwagen blokkeerde hierdoor doorgaand verkeer. Auto's had ontheffing voor parkeren, maar reactie van medewerkers Amsterdam was: u moet niet zo janken met beweging vuisten bij de oogjes aslof tranen weggeveegd worden. Ga nu maar uw palletjes lossen. Was vrij forse meneer die dit zij.;Deze mensen hierop aanspreken.;Nee;
Openbare ruimte;Wij, van Jachtwerf Staverno, zijn al een jaar bezig met het aanvragen van de snoei van overhangende bomen. Deze bomen staan op de nassaukade en hangen over onze steigers van de Jachthaven. Dit levert een zeer gevaarlijke situatie op. Door alg aanslag, bladeren e.d. op de steigers en de boten. <br />Onlangs is er zelfs iemand uitgegleden op de steiger. De volgende keer valt er iemand met zijn hoofd tegen een boot en valt te water. Nogmaals het is echt levensgevaarlijk en wie is er dan verantwoordelijk als ik zelf niet mag snoeien en de gemeente geen gehoor geeft aan mijn verzoeken?<br /><br />Hopelijk heeft u aandacht voor mijn zorgen. <br />;Zo snel mogelijk de overhangende takken snoeien!;Ja;
Openbare ruimte;Ik maak 4 tot 5 dagen per week gebruik van de trein bij CS en dus van de fietsenstalling. Ik heb een moederfiets met 2 zitjes (voor en achter). Ik woon in de buurt van het Westerdok. Eerder stalde ik mijn fiets onder de Spoorbrug (westerzijde A'dam CS), aangezien daar nog de enige plekken zijn waar geen 'fietsschuifstalling' is. Nu (sinds 8<wbr />/6<wbr />/15) is de spoorbrug afgesloten. Ik kan dus mijn fiets daar niet meer stallen.<br />Mijn vraag is: WAAR KAN IK MIJN MOEDERFIETS STALLEN?<br /><br />Mijn fiets past niet aan onder in een fietsschuifstalling, en bovenop krijg ik hem niet omdat ik niet sterk genoeg ben. <br />zoals er al meerder juridische uitspraken zijn, ben ik opzoek naar een REDELIJK ALTERNATIEF en niet naar een plek aan de Oostzijde van CS of parkeren op het Damrak (zoals ik begreep van uw gemeente Amsterdam collega Rene Zwiers (hh)).<br /><br />gisteren stalde ik uit nood mijn fiets op de op een scooterplek (keurig in een hoek) op de fietspanton achter CS maar had gelijk een rode sticker.<br />;een plek creeren met fietsenstallingen waar je een moederfiets met twee zitjes in kan stallen aan de westzijde of noordzijde van Station CS;Nee;
14020;Er staat op jullie site geen optie als je gaat verhuizen naar BUITEN Amsterdam. Dus als ik me wil uitschrijven.;Info toevoegen;Nee;
Stadsloket;De klacht is dat het momenteel niet mogelijk lijkt te zijn via de website van de gemeente een afspraak te maken voor het aanvragen van een paspoort bij stadsdeel Centrum Wanneer een datum gekozen moet worden, is het niet mogelijk een datum aan te klikken. Hierdoor kan er niet verder worden gegaan met de aanvraag en de afspraak dus niet worden geregeld.Dit is in 4 verschillende webbrowsers geprobeerd maar daar lijkt het probleem niet te liggen.;Per e-mail;Nee;
14020;Ik kreeg onderstaande email van de gemeente. Ik zou zoals telefonisch was afgesproken toen ik de melding deed graag toch telefonisch contact willen hebben met de relevante afdeling van de gemeente. Graag wordt ik morgen voor twaalf uur gebeld op 0647522727. Mocht de gemeente mij niet te woord willen staan dan vraag ik aan de gemeentelijke ombudsman bij wie ik dan terecht kan met mijn probleem. Naar de gvb doorverwezen worden helpt vermoedelijk niet, omdat zij mogelijk zullen aangeven toestemming te gebruiken hebben van de gemeente. Bovendien heb ik zelf al eerder met hen contact opgenomen en wacht ik nog steeds om terug gebeld te worden.<br />Met vriendelijke groet,<br />Ingrid mertens<br /><br /><br /><br />Geachte heer<wbr />/mevrouw,<br /><br />We kunnen uw melding over Overlast in de openbare ruimte - Bouw- <wbr />/ sloopoverlast MORA-0421691 niet oplossen. De melding met registratienummer MORA-0421691 is doorgestuurd naar GVB. Daar wordt uw melding opgepakt.<br /><br />Met vriendelijke groet,<br /><br />Gemeente Amsterdam;Ik wil dat de gemeente ervoor zorgt dat de gvb geen vergunning krijgt om drie weken lang 5 dagen in de week van 22:00 tot 06:00 aan de rails gaat werken. Ze zijn onaangekondigd afgelopen zondag al begonnen en dat levert zoveel overlast op dat de hele buurt niet kan slapen. Een aantal buurtbewoners heeft de werkmannen gevraagd toen op te houden. Het kan niet de bedoeling zijn dat er snachts zoveel lawaai wordt gemaakt. Het ontzien van mensen van slaap wordt als marteling gebruikt in bepaalde landen. En dan is de planning dat het niet eens voor een nacht maar voor een lange periode wordt gedaan. Dan kan de bewoners niet worden aangedaan. Dat is zeer schadelijk voor de gezondheid en voor niemand vol te houden. Het wordt bovendien ook nog doordeweeks gedaan, zodat het niet eens mogelijk voor me is om naar familie (in Limburg)  te gaan vanwege mijn werk. Ik wil zeer spoedig contact met de gemeente om te bespreken wat er aan deze situatie wordt gedaan. ;Ja;
14020;Geachte heer, mevrouw, op 3 april en op 4 mei heb ik een brief aan de gemeente gestuurd, maar nooit antwoord gekregen. Waarom? Zie bijlage voor de brieven.;Per e-mail;Ja;
Onderwijs, Jeugd en Zorg;Ik heb een PGB indicatie en vanaf januari 2015 SVB moet mijn zorgverleners uitbetalen, ik heb begin februari alle benodigd documenten opgestuurd naar SVB maar nog steeds wordt mijn zorg overeenkomst niet behandeld waardoor mijn zorg verleners mand januari en februari en maart niet uitbetaald zijn ;;Ik wil dat de gemeente of WMO afdeling contact op neemt met SVB zodat mijn zorg verlener uit betaald kan worden, anders leggen zij het werk neer;
Onderwijs, Jeugd en Zorg;ik ben gisteren 18..03.2015 naar de sociaal wijkteam tagerijn geweest ik heb hulp nodig en advies ik wil een maatschapelijk werker spreken maar ik krijg een vrijwiliger die niks weet , hij verweez me naar de inloop spreekuur van vandaag 19.03.2015 dan kan ik een socialraadlid spreken over mijn ingewikeld probleem die weet meer over regels en wetten en kan de juiste advies geven , ik ben vandaag naar tagerijn geweest krijg weer een ander vrijwiliger die ook niks weet en die zegt ook je heeft socialraadslid nodig, maar die hebben druk dat kan ik begrijpen ,ik vroeg om een afspraak te makken met een sociaalraadlid maar dat kon niet want die vrouw gaat met zwangerschap verlof , er heerst veel chaos en onduidelijkheid bij tagerijn ,en ik krijg niet de hulp waar ik recht op heb, zo instelling is voor mensen die moeilijk hebben en die hulp nodig hebben maar in praktijk klopt niks van ,;sociaal wijkteam tagerijn en social raadslid;ik wil dat de gemeente orde schept in de chaos die er is op sociaal wijkteam  tagerijn ,en mij hulp geeft waar ik recht op heb ,een gesprek met een sociaal raadslid om advies over mijn probleem , mensen die 5 minuuten binen komen worden geholpen anderen wachten 1 uur moeten lang wachten er zijn geen volgorde nummers  vandaag dan 19.03.2015 ,ik moest mijn probleem vertelen waar anderen bij zijn dat vind ik prive en hoeft niet de heel buurt te weten wat ik mankeer of wat voor problemen ik heb ,de medewerkers daar zijn grof en onvriendelijk tenzij ze daar zijn voor de zwakke van de samenleving en voor mensen die al moeilijk hebben ,ik verzoek u iets an te doen aan de problemen daar en echt hulp te bieden aan de mensen door een opgeleidt maatschapelijk werker en bereikbaar sociaal raadslid ;
Onderwijs, Jeugd en Zorg;Mw wil voor haar schoonvader wmo zaken regelen. Mw is dinsdag 17<wbr />/3 bij loket Nieuwe west burgerzaken langsgeweest voor verhuizing van hem. De instantie waar hij nu woont had dit zal al doorgegeven en volgens medewerker nieuwwest zou meneer vanaf afgelopen donderdag 9<wbr />/3 ingeschreven moeten staan. Mw kreeg nu van Wmo te horen dat hij nog niet bekend is op nieuwe adres en mw wil weten waar het mis gaat. Ik (14020) kan geen telefonische info geven en verwijs mw door naar loket, waar mw het oneens mee is. ;14020 en loket burgerzaken nieuwwest;Mw wil zo snel mogelijk telefonische geholpen worden zodat er voor hem wmozaken geregeld kunnen worden.;
Onderwijs, Jeugd en Zorg;Burger zegt dat er een dienstencheque is voor de zorg. Burger zegt dat ze hier geen informatie over kan vinden<wbr />/krijgen en dat zij zodoende deze niet kan gebruiken. ;Nee.;Wel goede informatie verschaffen zodat het ook makkelijker aan te vragen is. ;
Onderwijs, Jeugd en Zorg;Ik reed op de eerste oprit naar Amsterdam noord vanaf de ij tunnel. Dat is een vrij scherpe haarspeldbocht. Aan het einde van de oprit stonden de stoplichten op rood. Vanzelfsprekend reed ik dus op gepast tempo, zo'n 30 tot 40 km<wbr />/u, en vaart minderend op het rode stoplicht af. Ik moest immers stoppen. <br /><br />Dat was klaarblijkelijk niet snel genoeg volgens de chauffeur achter mij. Een chauffeur van een busje van gemeente vervoer amsterdam. Hij vond het nodig om te toeteren en rechts langs mij te scheuren zodra de weg tweebaans werd. Uiteindelijk stonden we samen vooraan te wachten op het rode stoplicht. Hij vond het nodig mij en mijn vriendin intimiderend aan te kijken terwijl we aan het wachten waren. De intimiderende blikken gingen gepaard met geergerde handgebaren. Toen het groen werd scheurde hij met zo'n 60 tot 70 km<wbr />/uur op het volgende stoplicht af. <br /><br />Het lijkt mij dat dit gedrag van chauffeurs van de gemeente Amsterdam niet wenselijk is. ;De chauffeur van het gemeente vervoer Amsterdam busje met kenteken 2-XXX-69;De chauffeur aanspreken op zijn schofterige gedrag. Mijns inziens zouden jullie chauffeurs moeten fungeren als positieve voorbeelden op de weg. Dit was het overduidelijk het tegenovergestelde. ;
Onderwijs, Jeugd en Zorg;Cl zit tijdelijk in een zorginstelling (WLZ) en heeft een indicatie voor een rolstoelgeschikte woning. Terwijl zij wacht op een woning (is nu langer dan 6 maanden) moet zij nu een eigen bijdrage betalen voor de zorginstelling. Om in aanmerking te komen voor een rolstoelwoning moet zij haar huurhuis aanhouden (ivm met Woningnet). Nu moet zij een hoge eigen bijdrage betalen terwijl zij nog huur betaald en wacht op een geschikt huis. De eigen bijdrage wordt te hoog om huur en bijdrage te betalen. ;;;
Onderwijs, Jeugd en Zorg;Betreft levering scootmobiel woonomgeving d.d. 6.11.2014 Cl. heeft in zijn woonomgevig diverse hellingen hij kan met deze voorziening de hellingen niet op en af komen.Bij het gesprek met de MO zaak heeft hij dit duidelijk aangegeven.;wmo<wbr />/mo zaak.;Cl. wil graag een aanpassing zodat de scootmobiel  meer vermogen krijgt. Hij begrijpt niet waarom hij deze voorziening heeft gekregen.;
Onderwijs, Jeugd en Zorg;cl heeft de antwoordkaart voor de Compensatie eigen risico heeft niet ingestuurd heeft in december bericht gekregen, cl is te laat om deze via de website aan te vragen;;cl wil graag als nog een aanvraag doen voor de WTCG;
Onderwijs, Jeugd en Zorg;Hoe blijf je als gescheiden vader op de hoogte van de ontwikkelingen van het kind. Kan alle informatie betreffende het kind, ook naar het adres van vader worden gestuurd, in plaats van alleen naar moeder.;Nee;Mij net als moeder informeren.;
